Country,Deaths,type,population
Sao Tome and Principe,3097,Incidence,207086
Saudi Arabia,546735,Incidence,33101183
Senegal,73654,Incidence,15419354
Serbia,886543,Incidence,7020858
Seychelles,21180,Incidence,95843
Sierra Leone,6388,Incidence,7488427
Singapore,81356,Incidence,5612253
Sint Maarten,4146,Incidence,5612253
Slovakia,405931,Incidence,5439232
Slovenia,286267,Incidence,2066388
Solomon Islands,20,Incidence,636030
Somalia,19234,Incidence,14589165
South Africa,2884134,Incidence,57009751
Spain,4940824,Incidence,46593236
Sri Lanka,508672,Incidence,21444000
St. Barth,508672,Incidence,21444000
St. Vincent Grenadines,508672,Incidence,109826
Sudan,38077,Incidence,40813398
Suriname,38137,Incidence,570501
Sweden,1147879,Incidence,10057698
Switzerland,826706,Incidence,8451840
Syria,826706,Incidence,8451840
Taiwan,31426,Incidence,17095669
Tajikistan,17484,Incidence,8880270
Tanzania,17484,Incidence,54660345
Thailand,1524613,Incidence,69209817
Timor-Leste,19264,Incidence,1243260
Togo,24655,Incidence,7698476
Trinidad and Tobago,48826,Incidence,1384060
Tunisia,702503,Incidence,11433438
Turkey,6932453,Incidence,81116451
Turkmenistan,0,Incidence,5757667
Turks and Caicos,0,Incidence,5757667
Uganda,122405,Incidence,41166588
Ukraine,2370425,Incidence,44831135
United Arab Emirates,733643,Incidence,9487206
United Kingdom,733643,Incidence,66058859
United States of America,42163561,Incidence,325122128
Uruguay,387922,Incidence,3436645
Uzbekistan,170520,Incidence,32388600
Vanuatu,3,Incidence,285499
Vatican City,3,Incidence,285499
Venezuela,3,Incidence,285499
Vietnam,718963,Incidence,94600643
Wallis and Futuna,454,Incidence,107281
W. Sahara,718963,Incidence,107281
Yemen,8789,Incidence,7509410228
Zambia,208502,Incidence,16853608
Zimbabwe,128186,Incidence,14236599
