Country,type,Incidence,Population,HDI,Temperature
Italy,Malaria,0,60536709,0.88,12.81
Jamaica,Malaria,0,2920848,0.732,24.97
Japan,Malaria,0,126785797,0.909,11.13
Jordan,Malaria,0,9785840,0.735,19.42
Kazakhstan,Malaria,0,18037776,0.8,6.91
Kenya,Malaria,3520384,50221146,0.59,25.09
Kiribati,Malaria,0,114153,0.612,27.49
Kuwait,Malaria,0,4056102,0.803,26.18
Kyrgyzstan,Malaria,0,6198200,0.672,2.22
Laos,Malaria,39122,6953031,0.601,23.74
Latin America and Caribbean,Malaria,4275087,618653508,0.601,23.74
Latvia,Malaria,0,1942248,0.847,6.86
Lebanon,Malaria,0,6819373,0.757,16
Lesotho,Malaria,0,2091532,0.52,12.65
Liberia,Malaria,1886107,4702224,0.435,25.69
Libya,Malaria,0,6580723,0.706,22.64
Lithuania,Malaria,0,2828403,0.858,7.43
Low SDI,Malaria,125686383,614965124,0.858,7.43
Low-middle SDI,Malaria,145389450,3194517542,0.858,7.43
Luxembourg,Malaria,0,596336,0.904,10.02
Madagascar,Malaria,1934794,25570511,0.519,22.65
Malawi,Malaria,3821420,17670193,0.477,22.51
Malaysia,Malaria,2125,31104655,0.802,25.75
Maldives,Malaria,0,496398,0.717,27.8
Mali,Malaria,7160192,18512429,0.427,28.83
Malta,Malaria,0,467999,0.878,19.61
Marshall Islands,Malaria,0,58053,0.708,27.93
Mauritania,Malaria,237631,4282582,0.52,28.34
Mauritius,Malaria,0,1264613,0.79,23.69
Mexico,Malaria,34717,124777326,0.774,21.31
Micronesia (country),Malaria,34717,124777326,0.627,21.31
Middle SDI,Malaria,201846221,5664768985,0.627,26.65
Moldova,Malaria,0,2755158,0.7,26.65
Mongolia,Malaria,0,3113788,0.741,0.67
Montenegro,Malaria,0,622373,0.814,9.19
Morocco,Malaria,0,35581257,0.667,18.04
Mozambique,Malaria,9350958,28649007,0.437,24.33
Myanmar,Malaria,202888,53382521,0.578,23.36
Namibia,Malaria,112321,2402623,0.647,20.56
Nepal,Malaria,10693,27632682,0.574,13.21
Netherlands,Malaria,0,17131296,0.931,10.4
New Zealand,Malaria,0,4813600,0.917,10.11
Nicaragua,Malaria,31766,6384843,0.658,25.29
Niger,Malaria,7702777,21602388,0.354,27.83
Nigeria,Malaria,54029359,190873247,0.532,27.24
,,,,,
North America,Malaria,0,361731296,0.532,27.24
North Korea,Malaria,0,361731296,0.532,27.24
North Macedonia,Malaria,0,2081996,0.757,10.64
Northern Ireland,Malaria,0,2081996,0.757,10.64
Northern Mariana Islands,Malaria,0,56553,0.757,27.64
Norway,Malaria,0,5276968,0.953,1.78
Oceania,Malaria,0,0,0.953,1.78
Oman,Malaria,0,4665926,0.821,26.04
Pakistan,Malaria,987674,207906210,0.562,20.75
Palestine,Malaria,0,17809,0.686,28.04
Panama,Malaria,828,4106764,0.789,25.4
Papua New Guinea,Malaria,1500657,8438038,0.544,25.08
Paraguay,Malaria,0,6867058,0.702,23.73
Peru,Malaria,184637,31444299,0.75,19.7
Philippines,Malaria,32174,105172921,0.699,25.82
Poland,Malaria,0,37974826,0.865,8.85
Portugal,Malaria,0,10300300,0.847,15.62
Puerto Rico,Malaria,0,3325286,0.847,24.93
Qatar,Malaria,0,2724727,0.856,28.02
Romania,Malaria,0,19588715,0.811,9.86
Russia,Malaria,0,19588715,0.816,9.86
Rwanda,Malaria,6449821,11980960,0.524,19.41
Saint Lucia,Malaria,6449821,11980960,0.747,26.34
Saint Vincent and the Grenadines,Malaria,6449821,11980960,0.723,27.42
Samoa,Malaria,0,195358,0.713,27.59
Sao Tome and Principe,Malaria,2239,207086,0.589,23.2
Saudi Arabia,Malaria,2209,33101183,0.853,25.47
Scotland,Malaria,2209,33101183,0.853,25.47
Senegal,Malaria,807277,15419354,0.505,28.65
Serbia,Malaria,0,7020858,0.787,11.28
Seychelles,Malaria,0,95843,0.797,27.55
Sierra Leone,Malaria,2726766,7488427,0.419,26.54
Singapore,Malaria,0,5612253,0.932,27.6
Slovakia,Malaria,0,5439232,0.855,8.34
Slovenia,Malaria,0,2066388,0.896,9.58
Solomon Islands,Malaria,104527,636030,0.546,25.61
Somalia,Malaria,541768,14589165,0.546,27.09
South Africa,Malaria,225170,57009751,0.699,18.28
South Asia,Malaria,13160863,1792883164,0.699,18.28
South Korea,Malaria,13160863,1792883164,0.903,18.28
S. Sudan,Malaria,6449821,11980960,0.524,19.41
,,,,,
,,,,,
,,,,,
,,,,,
Spain,Malaria,0,46593236,0.891,13.93
Sri Lanka,Malaria,0,21444000,0.77,27.28
,,,,,
Sudan,Malaria,1908105,40813398,0.502,27.74
Suriname,Malaria,271,570501,0.72,26.07
Sweden,Malaria,0,10057698,0.933,2.62
Switzerland,Malaria,0,8451840,0.944,6.08
Syria,Malaria,0,8451840,0.536,6.08
Taiwan,Malaria,0,17095669,0.536,18.58
Tajikistan,Malaria,0,8880270,0.65,3.75
Tanzania,Malaria,6775567,54660345,0.538,3.75
Thailand,Malaria,65952,69209817,0.755,26.79
Timor,Malaria,65952,69209817,0.625,26.79
Togo,Malaria,2141714,7698476,0.503,27.38
Tonga,Malaria,0,102002,0.726,24.58
Trinidad and Tobago,Malaria,0,1384060,0.784,26.37
Tropical Latin America,Malaria,0,1384060,0.784,26.37
Tunisia,Malaria,0,11433438,0.735,20.34
Turkey,Malaria,0,81116451,0.791,11.66
Turkmenistan,Malaria,0,5757667,0.706,16.14
Uganda,Malaria,13863230,41166588,0.516,23.34
Ukraine,Malaria,0,44831135,0.751,9.25
United Arab Emirates,Malaria,0,9487206,0.863,27.63
United Kingdom,Malaria,0,66058859,0.922,27.63
United States of America,Malaria,0,325122128,0.924,7.63
,,,,,
Uruguay,Malaria,0,3436645,0.804,17.93
Uzbekistan,Malaria,0,32388600,0.71,13.34
Vanuatu,Malaria,2266,285499,0.603,24.03
Venezuela,Malaria,2266,285499,0.761,24.03
Vietnam,Malaria,7437,94600643,0.694,24.62
Wales,Malaria,0,107281,0.694,24.62
Western Europe,Malaria,0,4454805,0.694,24.62
Western Sub-Saharan Africa,Malaria,0,4454805,0.694,24.62
,,,,,
Yemen,Malaria,442967994,7509410228,0.452,23.63
Zambia,Malaria,2697352,16853608,0.588,22.27
Zimbabwe,Malaria,1545383,14236599,0.535,21.83
